,Altitude,Latitude,Longitude,Injury.Severity,Aircraft.Damage,Number.of.Engines,Engine.Type,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Total.Passengers
142,643.1,26.072778,-80.152778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,142,VMC,STANDING,142
143,367.2,33.9425,-118.40722199999999,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,142,VMC,LANDING,142
144,568.3,36.08,-115.152222,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,6,136,VMC,DESCENT,142
145,0.0,39.16472292,-96.61041184,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,2,42,98,VMC,LANDING,142
146,332.8,33.216945,-83.807778,NON-FATAL,SUBSTANTIAL,2,UNKNOWN,UNKNOWN,0,1,0,140,IMC,DESCENT,141
147,367.2,33.0,-118.0,NON-FATAL,MINOR,2,UNKNOWN,UNKNOWN,0,0,0,140,VMC,TAXI,140
148,367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,0,0,140,VMC,TAKEOFF,140
149,367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,140,VMC,TAKEOFF,140
150,161.3,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,139,IMC,LANDING,139
151,273.3,36.1,-86.6,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,138,VMC,TAXI,138
152,1635.6,33.191111,-95.978334,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,138,VMC,CLIMB,138
153,2.8,46.920556,-96.815833,INCIDENT,MINOR,2,TURBO JET,UNKNOWN,0,0,0,138,VMC,LANDING,138
154,367.2,39.861389,-104.673056,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,138,VMC,LANDING,138
155,304.7,40.635555,-73.773889,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,138,VMC,TAXI,138
156,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,25,113,VMC,TAXI,138
157,332.8,33.640555,-84.42694499999999,NON-FATAL,MINOR,2,TURBO JET,UNKNOWN,0,1,0,136,IMC,DESCENT,137
158,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,0,136,VMC,STANDING,136
159,23.3,39.16472292,-96.61041184,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,135,VMC,TAXI,135
160,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,135,VMC,TAXI,135
161,367.2,39.0,-76.0,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,134,VMC,TAXI,134
162,0.3,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,133,IMC,TAXI,133
163,3.5,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,133,VMC,TAKEOFF,133
164,284.9,40.778334,-73.869723,NON-FATAL,SUBSTANTIAL,4,TURBO FAN,UNKNOWN,0,0,0,132,IMC,LANDING,132
165,367.2,38.858333,-77.041666,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,132,VMC,STANDING,132
166,367.2,36.625834000000005,-93.228889,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,131,VMC,LANDING,131
167,367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,130,VMC,TAKEOFF,130
168,982.3,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,1,1,128,VMC,DESCENT,130
169,684.0,19.0,-81.0,NON-FATAL,SUBSTANTIAL,2,UNKNOWN,UNKNOWN,0,1,7,121,VMC,DESCENT,129
170,367.2,44.1475,-103.106667,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,129,VMC,LANDING,129
171,367.2,33.94,118.41,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,129,VMC,TAXI,129
172,697.8,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,129,IMC,APPROACH,129
173,332.8,25.795277,-80.287222,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,126,VMC,DESCENT,127
174,367.2,41.968610999999996,-87.90777800000001,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,2,125,VMC,LANDING,127
175,367.2,39.16472292,-96.61041184,INCIDENT,SUBSTANTIAL,1,UNKNOWN,PERSONAL,0,0,0,124,VMC,TAKEOFF,124
176,304.4,39.16472292,-96.61041184,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,124,VMC,LANDING,124
177,57.1,39.16472292,-96.61041184,NON-FATAL,MINOR,4,TURBO FAN,UNKNOWN,0,1,0,123,IMC,STANDING,124
178,367.2,39.297777,-94.713889,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,123,VMC,LANDING,123
179,692.8,32.656667,-114.605833,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,2,120,VMC,CLIMB,122
180,190.8,36.894444,-76.201111,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,120,VMC,DESCENT,122
181,332.8,44.225834000000006,-72.857778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,1,117,VMC,APPROACH,119
182,672.4,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO JET,UNKNOWN,0,0,0,119,IMC,APPROACH,119
183,217.9,30.007222,-95.313611,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,118,VMC,LANDING,118
184,195.9,42.243889,-83.5425,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,1,115,VMC,TAKEOFF,116
