type	latitude	longitude	altitude (m)	name
T	40.088000000	-123.808000000	139.1	
T	37.778000000	-89.252000000	124.5	
T	42.343000000	-88.897000000	290.5	
T	41.446000000	-72.458000000	2.4	
T	63.002000000	-156.367000000	312.8	
T	31.232000000	-81.355000000	5.0	
T	46.097000000	-97.919000000	431.9	
T	38.174000000	-111.249000000	2326.0	
T	45.921000000	-116.218000000	996.8	
T	31.418000000	-110.848000000	1186.4	
T	38.398000000	-77.456000000	57.5	
T	34.020000000	-106.902000000	1458.1	
T	38.010000000	-77.967000000	147.7	
T	39.851000000	-85.884000000	260.7	
T	28.846000000	-98.878000000	151.9	
T	43.423000000	-116.712000000	683.5	
T	33.618000000	-80.694000000	65.6	
T	33.358000000	-84.572000000	232.9	
T	41.803000000	-78.640000000	645.1	
T	34.598000000	-91.575000000	66.8	
T	28.630000000	-81.389000000	28.6	
T	29.183000000	-95.994000000	24.1	
T	29.479000000	-95.327000000	15.1	
T	38.515000000	-89.091000000	158.7	
T	40.465000000	-105.086000000	1566.1	
T	42.539000000	-122.904000000	432.8	
T	42.725000000	-114.447000000	1235.3	
T	38.085000000	-103.201000000	1185.4	
T	45.784000000	-111.161000000	1353.8	
T	33.178000000	-91.880000000	54.8	
T	60.525000000	-150.996000000	58.7	
T	62.961000000	-141.928000000	523.6	
T	39.942000000	-74.849000000	12.1	
T	39.019000000	-108.768000000	2073.9	
T	26.202000000	-81.707000000	3.2	
T	29.516000000	-96.398000000	46.3	
T	35.213000000	-80.668000000	239.5	
T	37.132000000	-76.493000000	11.1	
T	46.423000000	-92.806000000	317.3	
T	33.627000000	-90.374000000	37.3	
T	42.910000000	-77.330000000	244.1	
T	38.955000000	-121.082000000	457.9	
T	30.433000000	-87.702000000	16.6	
T	39.189000000	-121.709000000	18.5	
T	40.487000000	-85.684000000	259.7	
T	35.794000000	-115.627000000	786.6	
T	40.109000000	-85.613000000	273.5	
T	41.454000000	-87.007000000	231.4	
T	38.967000000	-117.183000000	1675.0	
T	61.129000000	-142.415000000	395.2	
T	46.491000000	-116.277000000	342.1	
T	32.771000000	-98.043000000	238.5	
T	40.360000000	-121.511000000	1468.2	
T	40.764000000	-78.211000000	655.5	
T	35.073000000	-77.043000000	4.8	
T	35.927000000	-119.272000000	84.8	
T	38.909000000	-121.351000000	36.0	
T	34.363000000	-99.901000000	485.6	
T	40.278000000	-110.051000000	1567.9	
T	32.960000000	-112.674000000	237.7	
T	34.655000000	-112.419000000	1520.1	
T	41.149000000	-111.767000000	1519.6	
T	24.651000000	-82.867000000	0.0	
T	33.929000000	-117.575000000	189.7	
T	34.491000000	-77.531000000	10.5	
T	30.038000000	-99.186000000	575.8	
T	44.190000000	-120.821000000	1101.0	
T	30.678000000	-98.418000000	261.1	
T	33.620000000	-111.915000000	444.4	
T	33.984000000	-87.059000000	204.8	
T	43.526000000	-89.983000000	274.4	
T	45.548000000	-94.070000000	310.8	
T	33.871000000	-117.981000000	27.2	
T	30.722000000	-91.648000000	8.4	
T	38.066000000	-97.861000000	462.5	
T	43.763000000	-70.672000000	87.7	
T	44.808000000	-68.829000000	52.2	
T	40.677000000	-73.714000000	9.1	
T	33.975000000	-117.636000000	191.4	
T	40.225000000	-83.350000000	305.1	
T	33.872000000	-117.980000000	27.7	
T	43.329000000	-76.414000000	96.5	
T	41.527000000	-72.831000000	29.6	
T	45.589000000	-122.597000000	8.4	
T	26.292000000	-97.765000000	11.9	
T	37.017000000	-110.201000000	1562.1	
T	27.988000000	-82.019000000	39.5	
T	34.672000000	-82.884000000	271.2	
T	38.728000000	-120.745000000	764.3	
T	32.609000000	-82.370000000	97.5	
T	26.587000000	-81.863000000	4.0	
T	29.301000000	-81.114000000	7.8	
T	33.878000000	-88.488000000	67.3	
T	45.820000000	-119.281000000	190.2	
T	30.062000000	-95.553000000	45.7	
T	41.401000000	-92.946000000	267.4	
T	38.068000000	-97.275000000	465.8	
T	40.088000000	-75.006000000	34.4	
T	27.976000000	-82.533000000	7.5	
T	35.980000000	-94.070000000	378.2	
T	26.071000000	-80.142000000	2.4	
T	36.492000000	-79.312000000	157.5	
T	43.577000000	-85.284000000	291.5	
T	40.452000000	-105.011000000	1522.7	
T	25.999000000	-80.240000000	1.9	
T	25.999000000	-80.240000000	1.9	
T	32.128000000	-81.198000000	13.9	
T	44.497000000	-123.289000000	74.6	
T	33.938000000	-117.486000000	238.3	
T	62.333000000	-150.079000000	110.7	
T	39.464000000	-92.432000000	263.6	
T	44.670000000	-121.155000000	739.5	
T	46.567000000	-120.537000000	322.1	
T	32.816000000	-117.140000000	128.2	
T	28.777000000	-81.235000000	13.5	
T	30.351000000	-97.994000000	281.1	
T	33.889000000	-118.241000000	27.6	
T	33.889000000	-118.241000000	27.6	
T	27.000000000	-82.000000000	2.5	
T	38.780000000	-76.088000000	3.3	
T	35.270000000	-82.644000000	640.2	
T	40.176000000	-103.222000000	1420.5	
T	40.273000000	-79.408000000	349.3	
T	39.179000000	-84.380000000	262.6	
T	41.226000000	-92.494000000	254.9	
T	43.779000000	-116.939000000	677.8	
T	37.774000000	-97.113000000	410.5	
T	33.271000000	-111.807000000	378.0	
T	46.736000000	-117.088000000	788.0	1k
T	33.873000000	-84.301000000	302.2	
T	39.000000000	-74.000000000		
T	32.461000000	-94.539000000	103.3	
T	26.790000000	-80.693000000	4.2	
T	46.459000000	-97.185000000	324.8	
T	46.695000000	-92.095000000	202.2	
T	30.589000000	-98.370000000	258.0	
T	27.715000000	-80.527000000	6.3	
T	33.626000000	-111.906000000	452.6	
T	61.798000000	-149.503000000	1268.9	
T	43.427000000	-116.621000000	818.7	
T	36.002000000	-78.355000000	86.0	
T	26.166000000	-80.101000000	2.5	
T	32.549000000	-93.761000000	45.3	
T	38.228000000	-85.664000000	166.1	
T	32.491000000	-80.994000000	15.5	
T	40.399000000	-74.659000000	38.5	
T	45.535000000	-98.613000000	414.4	
T	42.004000000	-71.200000000	37.0	
T	28.056000000	-81.753000000	43.5	
T	32.494000000	-80.991000000	23.1	
T	39.427000000	-101.053000000	967.0	
T	40.798000000	-74.416000000	55.5	
T	45.771000000	-122.862000000	14.7	
T	37.693000000	-121.820000000	116.8	
T	38.183000000	-84.900000000	239.1	
T	39.564000000	-104.844000000	1781.1	
T	41.528000000	-85.757000000	265.9	
T	36.040000000	-95.982000000	189.1	
T	39.334000000	-114.781000000	2102.4	
T	28.779000000	-81.236000000	13.6	
T	41.019000000	-89.386000000	167.6	
T	34.013000000	-84.593000000	305.2	
T	33.485000000	-101.662000000	951.8	
T	39.751000000	-84.852000000	347.0	
T	45.928000000	-89.731000000	495.2	
T	38.398000000	-77.807000000	91.7	
T	37.872000000	-121.924000000	866.9	
T	27.664000000	-80.425000000	5.7	
T	45.241000000	-122.769000000	59.5	
T	37.708000000	-77.436000000	61.9	
T	33.872000000	-117.787000000	129.2	
T	37.405000000	-112.909000000	2134.8	
T	26.691000000	-79.721000000	0.0	
T	39.001000000	-119.751000000	1435.4	
T	32.635000000	-96.970000000	173.8	
T	32.635000000	-96.970000000	173.8	
T	33.211000000	-117.369000000	54.2	
T	62.786000000	-154.754000000	128.1	
T	46.446000000	-120.364000000	250.6	
T	61.216000000	-149.840000000	41.0	
T	32.756000000	-97.298000000	152.3	
T	30.424000000	-97.569000000	185.0	
T	37.239000000	-76.716000000	11.4	
T	34.259000000	-118.413000000	300.2	
T	38.054000000	-84.574000000	285.1	
T	45.377000000	-121.693000000	2922.7	
T	45.549000000	-122.401000000	9.4	
T	40.761000000	-81.779000000	342.3	
T	29.707000000	-91.296000000	1.4	
T	33.801000000	-118.342000000	35.9	
T	33.975000000	-117.635000000	191.9	
T	25.648000000	-80.433000000	1.5	
T	45.830000000	-87.980000000	326.9	
T	46.947000000	-120.513000000	441.7	
T	30.261000000	-98.907000000	532.1	
T	46.308000000	-111.538000000	1171.4	
T	40.619000000	-111.993000000	1404.0	
T	48.042000000	-122.775000000	35.6	
T	41.868000000	-84.077000000	242.2	
T	43.619000000	-97.381000000	436.6	
T	28.670000000	-96.681000000	7.8	
T	39.153000000	-122.020000000	12.6	
T	42.969000000	-83.755000000	233.0	
T	32.954000000	-111.766000000	442.7	
T	40.164000000	-105.164000000	1536.9	
T	35.095000000	-106.164000000	1995.5	
T	34.653000000	-112.420000000	1523.7	
T	41.000000000	-75.000000000	265.1	
T	46.289000000	-111.519000000	1171.1	
T	45.228000000	-96.004000000	310.9	
T	32.816000000	-117.139000000	128.8	
T	40.876000000	-74.278000000	53.6	
T	28.703000000	-81.587000000	24.3	
T	45.696000000	-85.568000000	203.2	
T	44.094000000	-121.200000000	1042.6	
T	30.533000000	-98.324000000	286.9	
T	29.623000000	-95.657000000	23.7	
T	43.502000000	-96.701000000	458.3	
T	25.909000000	-80.121000000	0.3	
T	38.131000000	-108.292000000	2136.0	
T	33.675000000	-117.869000000	15.9	
T	27.987000000	-82.024000000	38.8	
T	61.538000000	-149.850000000	45.4	
T	32.521000000	-94.308000000	106.1	
T	32.260000000	-99.566000000	613.2	
T	31.835000000	-94.157000000	97.5	
T	33.791000000	-84.495000000	257.6	
T	34.849000000	-111.788000000	1466.4	
T	33.886000000	-82.278000000	144.9	
T	34.852000000	-84.016000000	592.6	
T	42.920000000	-112.895000000	1372.1	
T	26.451000000	-80.538000000	2.7	
T	45.584000000	-115.682000000	2323.0	
T	41.371000000	-83.942000000	205.6	
T	34.970000000	-106.000000000	1882.5	
T	37.659000000	-96.528000000	490.8	
T	26.925000000	-82.001000000	2.5	
T	41.452000000	-87.004000000	231.7	
T	33.975000000	-117.636000000	191.4	
T	43.330000000	-88.326000000	310.6	
T	41.383000000	-72.505000000	125.4	
T	37.064000000	-120.870000000	36.4	
T	34.499000000	-83.557000000	430.2	
T	41.327000000	-75.591000000	499.4	
T	35.018000000	-80.622000000	204.1	
T	39.659000000	-119.866000000	1527.9	
T	26.205000000	-80.157000000	2.4	
T	37.271000000	-79.336000000	244.5	
T	29.764000000	-85.022000000	0.7	
T	46.921000000	-96.816000000	273.6	
T	48.469000000	-122.421000000	31.1	
T	34.039000000	-84.586000000	313.4	
T	40.481000000	-85.682000000	261.2	
T	34.452000000	-84.458000000	457.0	
T	27.765000000	-82.627000000	1.8	
T	34.985000000	-81.058000000	199.1	
T	33.308000000	-111.656000000	415.9	
T	33.308000000	-111.656000000	415.9	
T	32.955000000	-111.767000000	442.6	
T	59.879000000	-147.748000000	7.3	
T	35.617000000	-106.089000000	1922.4	
T	36.030000000	-119.063000000	133.5	
T	34.848000000	-82.350000000	309.2	
T	31.999000000	-110.356000000	1162.2	
T	25.795000000	-80.290000000	2.3	
T	33.812000000	-78.724000000	9.3	
T	41.189000000	-112.015000000	1357.6	
T	45.205000000	-91.692000000	316.0	
T	-33.806000000	-70.466000000	2024.3	
T	38.941000000	-104.569000000	2073.8	
T	25.648000000	-80.433000000	1.5	
T	25.648000000	-80.433000000	1.5	
T	33.898000000	-117.600000000	161.7	
T	31.900000000	-94.080000000	69.8	
T	38.996000000	-79.146000000	289.7	
T	32.980000000	-84.100000000	218.1	
T	28.421000000	-81.691000000	32.0	
T	30.528000000	-86.439000000	21.8	
